cluster,bucket_start,day_of_week,log_ret_mean,log_ret_std,log_ret_sum,abs_volatility,realized_volatility,spread,imbalance,depth,depth_ratio,rv_rolling,mom_rolling
0,0,1,1.088012191885047e-08,6.690116536195987e-05,3.04643413727813e-07,0.0012808459082660484,0.00035486178647984413,0.02994994588744594,0.003048500472957581,83779.85497835498,1.5094623287345783,5.453356671921589e-05,2.3049321540151264e-06
0,0,2,-7.24013123583711e-07,6.21661247130804e-05,-2.0211951037414904e-05,0.0011681986842163388,0.0003292944958869178,0.029709671115920985,0.01050533571722508,81702.7316017316,1.5392683769635909,5.23071263927587e-05,1.044883143517548e-06
0,0,3,-7.992728867306514e-09,6.579590732964087e-05,-2.70698593285098e-07,0.0012637640809499016,0.00034861603103769243,0.030214330422663766,0.0011008922354300902,83284.61904761905,1.5240904015070933,5.484065041683153e-05,1.4902479246450743e-07
0,0,4,-3.9203458398222803e-08,6.804991028680523e-05,-1.1756998122533249e-06,0.0012992570257760764,0.0003595003739775961,0.0305076285381671,0.0019373092027279513,82105.39393939394,1.5549555944580862,5.411063448195408e-05,-1.2758373408830228e-06
0,30,1,5.491904147412467e-07,5.8201084339859126e-05,1.64757124422374e-05,0.0011772562574345372,0.000318698787927703,0.02917099567099568,0.00871140979884309,89628.420995671,1.5367397744853206,5.072730224322042e-05,3.745296215414795e-06
0,30,2,1.3127632449821133e-06,5.4014988479484546e-05,3.9382897349463396e-05,0.0010673448516454727,0.0002959728442573799,0.02893380230880216,0.0038860702046118094,88479.63961038961,1.4757948657155198,4.36766998978519e-05,2.5589366116779013e-06
0,30,3,1.3365347458292364e-07,5.497333055602988e-05,4.00960423748771e-06,0.0011078665603320922,0.00030151915303375807,0.029228174603174225,0.006693942306198502,89457.10714285714,1.5497692790114028,4.8480317772155e-05,4.631890709970919e-07
0,30,4,-1.0228152563558521e-06,5.7804489566835934e-05,-3.068445769067556e-05,0.0011677708229378308,0.00031610828976999793,0.029713203463203764,0.004566669345100875,89254.25216450216,1.5248449906145884,4.958321550468403e-05,-2.399702378709037e-07
0,60,1,-2.5755944919256357e-07,5.88325505037264e-05,-7.726783475776908e-06,0.0012053169913289017,0.00032255258849835973,0.0289273088023085,0.009010181597690738,89185.26082251083,1.5246077490517729,4.854835708027265e-05,6.373780238126508e-08
0,60,2,5.101953092021431e-07,5.5650110326152115e-05,1.5305859276064294e-05,0.0011181713566983955,0.00030496003962169965,0.02864772727272706,-0.005591852967824918,87631.26406926407,1.4478789494893185,4.5258165086995695e-05,-6.543384354555425e-07
0,60,3,3.469957339312413e-07,5.774153896562898e-05,1.040987201793724e-05,0.0011764980763286866,0.00031675448846223657,0.0288762626262622,0.0014875042043848152,89995.53571428571,1.5098290486531278,4.87805593443148e-05,4.215464047334763e-07
